"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
"2021","Wokingham","E06000041",991.7
"2021","Buckinghamshire","E06000060",353.4
"2021","East Sussex","E10000011",319.5
"2021","Hampshire","E10000014",380.8
"2021","Kent","E10000016",444.7
"2021","Oxfordshire","E10000025",278.4
"2021","Surrey","E10000030",723.7
"2021","West Sussex","E10000032",443.3
"2021","Bath and North East Somerset","E06000022",559.2
"2021","Bristol, City of","E06000023",4308.1
"2021","Cornwall","E06000052",160.9
"2021","Isles of Scilly","E06000053",125.9
"2021","North Somerset","E06000024",579.9
"2021","Plymouth","E06000026",3314.8
"2021","Bournemouth, Christchurch and Poole","E06000058",2469.2
"2021","South Gloucestershire","E06000025",584.3
"2021","Swindon","E06000030",1014.4
"2021","Torbay","E06000027",2215.6
"2021","Wiltshire","E06000054",156.8
"2021","Devon","E10000008",123.7
"2021","Dorset","E06000059",152.4
"2021","Gloucestershire","E10000013",243.2
"2021","Somerset","E10000027",165.7
"2021","Isle of Anglesey","W06000001",96.7
"2021","Gwynedd","W06000002",46.3
"2021","Conwy","W06000003",101.9
"2021","Denbighshire","W06000004",114.5
"2021","Flintshire","W06000005",352.3
"2021","Wrexham","W06000006",268.2
"2021","Powys","W06000023",25.7
"2021","Ceredigion","W06000008",40.0
"2021","Pembrokeshire","W06000009",76.2
"2021","Carmarthenshire","W06000010",79.3
"2021","Swansea","W06000011",631.5
"2021","Neath Port Talbot","W06000012",322.5
"2021","Bridgend","W06000013",580.1
"2021","Vale of Glamorgan","W06000014",398.4
"2021","Cardiff","W06000015",2571.3
"2021","Rhondda Cynon Taff","W06000016",560.3
"2021","Merthyr Tydfil","W06000024",528.2
"2021","Caerphilly","W06000018",634.2
"2021","Blaenau Gwent","W06000019",615.1
"2021","Torfaen","W06000020",734.4
"2021","Monmouthshire","W06000021",109.5
"2021","Newport","W06000022",838.1
