"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
"2021","E00060436","E00060436",4421.8
"2021","E00060437","E00060437",7893.3
"2021","E00060442","E00060442",4741.1
"2021","E00060444","E00060444",2313.9
"2021","E00060456","E00060456",2659.4
"2021","E00060457","E00060457",2476.2
"2021","E00060458","E00060458",2918.5
"2021","E00060468","E00060468",4764.6
"2021","E00060469","E00060469",5960.1
"2021","E00060470","E00060470",6160.0
"2021","E00060454","E00060454",5525.0
"2021","E00060455","E00060455",2895.7
"2021","E00060459","E00060459",4765.6
"2021","E00060460","E00060460",5452.9
"2021","E00060461","E00060461",188.7
"2021","E00060467","E00060467",4496.6
"2021","E00060463","E00060463",5661.1
"2021","E00060464","E00060464",4867.8
"2021","E00060465","E00060465",6480.2
"2021","E00060466","E00060466",6283.8
"2021","E00188199","E00188199",2080.2
"2021","E00188305","E00188305",547.2
"2021","E00060494","E00060494",4316.5
"2021","E00060498","E00060498",5160.3
"2021","E00060499","E00060499",4575.7
"2021","E00174089","E00174089",5259.5
"2021","E00060496","E00060496",5064.3
"2021","E00060497","E00060497",8000.0
"2021","E00060509","E00060509",5136.1
"2021","E00060512","E00060512",3215.9
"2021","E00060513","E00060513",2224.4
"2021","E00060502","E00060502",3798.8
"2021","E00060503","E00060503",659.6
"2021","E00060505","E00060505",4836.6
"2021","E00060507","E00060507",5798.1
"2021","E00174096","E00174096",867.6
"2021","E00174104","E00174104",3654.8
"2021","E00060495","E00060495",5680.3
"2021","E00060500","E00060500",2971.4
"2021","E00060501","E00060501",30.5
"2021","E00060504","E00060504",2177.0
"2021","E00188226","E00188226",10044.2
"2021","E00188269","E00188269",617.8
"2021","E00188271","E00188271",6754.2
"2021","E00060317","E00060317",3532.8
"2021","E00060321","E00060321",3748.6
"2021","E00060325","E00060325",5898.5
"2021","E00060329","E00060329",3135.7
"2021","E00060336","E00060336",7969.2
"2021","E00060318","E00060318",6286.3
"2021","E00060319","E00060319",8392.9
"2021","E00060322","E00060322",5737.4
"2021","E00060328","E00060328",2901.2
"2021","E00060331","E00060331",5400.4
"2021","E00060401","E00060401",4322.0
"2021","E00060402","E00060402",5918.8
"2021","E00060404","E00060404",4383.6
